original_index,H2O,CO2,O2,N2,CH4,N2O,CO,O3,SO2,NH3,C2H6,NO2
78,0.0292911585932024,0.5120526189859659,0.001475031840623,0.394195916957987,0.0458196078017515,0.003899397300781,0.0104497806002281,2.6798997985e-06,0.0016751953092685,0.0009464272492527,0.0001867243017182,5.4611594227e-06
88,0.0368120463162723,0.5396859159587887,0.0077398794563022,0.3742483429422544,0.0287130530379078,0.0020141714252786,0.0037884267632225,6.40824071692e-05,0.0029858028537309,0.0037192142885552,0.0002248276676501,4.2368828675e-06
126,0.0361041694629718,0.4555801104272213,0.0303255139171248,0.447427204252064,0.0131559078670231,0.0067495405328571,0.0026654491915347,0.0002492691087996,0.0036671339218629,0.0039610738105861,0.0001054901699295,9.1373380244e-06
155,0.0495452110702082,0.3748334615333971,0.0573232767015354,0.4695446094423931,0.0197334785577017,0.0056847288308391,0.011755230255268,0.0003770494399818,0.0050890591472891,0.0059114959356759,0.0001969915855501,5.4075001602e-06
163,0.0247284944770758,0.3765656076638765,0.0340443608936772,0.5162027553759316,0.0264859348237902,0.0033651579129677,0.0073958294194513,0.0001851028141366,0.0047263142913249,0.0060493584832591,0.0002460096399641,5.0742045444e-06
228,0.055824397204096,0.431464182166944,0.015963754467848,0.4656991848229301,0.0127551400707977,0.0101349559408119,0.00070477730578,2.59052558117e-05,0.0042418326094862,0.0031539456568517,2.3340473794e-05,8.5840248482e-06
231,0.0349672831316136,0.4734727876312575,0.059515090462045,0.3733022778484869,0.044381546786448,0.0022495951452371,0.0074894080402796,0.0003744230152248,0.0016681382750978,0.0022597259390462,0.000315838358089,3.8853671743e-06
282,0.0346826316534467,0.3862212151452584,0.0446344067502559,0.4586688513357362,0.0575483705343292,0.0052413594212986,0.0085879498342697,0.0001253750615234,0.0020965368519214,0.0021099725358053,7.56098572023e-05,7.7210189524e-06
337,0.0288370277533805,0.5020062649612823,0.0404551400152413,0.3849373893304936,0.0305564797969473,0.0057897208413752,0.0005450573532339,0.0001856748474608,0.0032906118103908,0.0032687376859104,0.0001223049033128,5.5907009708e-06
375,0.0301264932503304,0.5124736226880221,0.0405030733850133,0.337782099731425,0.0616232703819557,0.0034404920981513,0.0117239624511425,4.0955884979e-05,0.0002173012746549,0.0019770610750325,8.59030870187e-05,5.764692274e-06
466,0.0451620235883421,0.3834557962947347,0.0615625332241423,0.4672054467888719,0.0170278871681513,0.0082937534609091,0.0074050918720291,0.000568854765891,0.0043630989667902,0.0047895510823567,0.0001577435101077,8.2192776733e-06
