original_index,H2O,CO2,O2,N2,CH4,N2O,CO,O3,SO2,NH3,C2H6,NO2
11,0.0073251173474938,0.3937027002979854,0.2218959689572339,0.3307379721734972,0.0377230971674432,0.0017317056909871,0.0031136962119406,0.0001259578314841,0.0008387125432259,0.0027085291059938,9.11165091457e-05,5.4261635686e-06
30,0.0080579870008109,0.4445436118078621,0.2090041930581825,0.28685784863074,0.0399164104170093,0.0036469763955941,0.0017073784834227,0.0007035678224361,0.0034196023292409,0.0020764333180153,6.29124168906e-05,3.078319795e-06
35,0.0106744497510485,0.3517015697873179,0.2760492654250892,0.3422291212108432,0.0012634192705468,0.0040024543359021,0.0065399956558107,0.0024309058895683,0.0022949553163226,0.0028008048831443,9.3106938541e-06,3.7477805517e-06
73,0.0338577320267955,0.3092329735743802,0.2183471364317746,0.4070526093002349,0.0143087776630337,0.003229056964568,0.0066169116796379,7.08501427042e-05,0.0029166568107345,0.0042615584917091,0.0001041276931396,1.6092212872e-06
79,0.0350666790769731,0.4042447141578733,0.1579957350694341,0.3587318404501784,0.0377254004268168,0.0006643175040301,0.0025957063635545,0.0002299380699848,2.35821543961e-05,0.002579487011473,0.0001384464440985,4.1532711869e-06
119,0.0248592763032011,0.4488813209464068,0.155381403818395,0.3403287753223348,0.0212892332616036,0.0036176890594206,0.0030188520002217,0.0004444532491422,5.374464229e-05,0.0020370243389287,8.80420333694e-05,1.850246856534354e-07
140,0.0207927278264705,0.4049212939198024,0.1813410544024418,0.3630723487327594,0.019517843783983,0.0054754332389071,0.0022168240794081,0.0007737230686785,0.0002824493959005,0.001507989219937,9.59396669339e-05,2.3726647771e-06
164,0.0057988506859356,0.4142849724914645,0.234635684556307,0.3194847616352575,0.0074384890281752,0.0046499438955926,0.0077924837238542,0.0010013461943048,0.0010132554450924,0.003846197757557,4.99813622089e-05,4.0332242498e-06
172,0.0207792941612577,0.3949848472040344,0.2518878475131582,0.3103280135919594,0.0078410520562784,0.0012357801131793,0.0065855746812713,0.0024503769214334,0.0023453020204658,0.0015290236111937,2.48403078105e-05,8.0478179574e-06
180,0.0491708179316162,0.3120993410535329,0.1649281875313319,0.4375439527241259,0.0164858124481417,0.0031937069868207,0.0065878942792371,0.0003494388929007,0.0047084700868036,0.0049247480241274,5.5998844401e-06,2.0301569213e-06
209,0.0271386623685402,0.2904985188907943,0.2079675080955358,0.4349527988151911,0.0274219642994276,0.0004049615969637,0.0026864019852384,0.0008536248678388,0.0031830838129888,0.0047183354596555,0.0001681506594215,5.9891484036e-06
277,0.0156274479241229,0.4195605632445102,0.2553310028403219,0.2951627553747413,0.0005513618603573,0.0026761357973061,0.0075390659536302,0.0002433266575891,0.0008116468031972,0.0024923207882265,8.205139468930004e-07,3.55224205e-06
336,0.0057205648468754,0.3393946638724175,0.2607435602045548,0.3607858418645306,0.0217891026409232,0.0025122088906882,0.0045256894668185,0.0005584783392966,0.0008680177566269,0.0030417031362005,5.62563220733e-05,3.9126589942e-06
360,0.0029127026841929,0.3564951361151902,0.3206084252853802,0.3037906102991771,0.0057062152621949,0.001293801098181,0.0047591600794299,0.0013474885760108,0.0001880399772021,0.0028605117332702,3.17472866327e-05,6.1616031375e-06
389,0.0246168408336955,0.2753738921756843,0.2839787155192675,0.3727070488195307,0.0325562993384045,0.0038272287428798,0.0037366890628011,1.87683704494e-05,2.21317867041e-05,0.0031023959951349,5.75822837741e-05,2.4070716737e-06
462,0.0087523362917343,0.4037780410813852,0.1813232861580735,0.3725465084513726,0.0234177776599643,0.0012766721409153,0.003925566016162,0.0005088080060614,0.0011041912783775,0.0032097450796745,0.0001505748171174,6.4930191614e-06
464,0.0124825020884713,0.4210040854859492,0.3438382493156368,0.2105892805826057,0.000784909232265,0.0013019896390776,0.0041072514577408,0.0009890374447909,0.0021904511301761,0.0027033219764601,4.0668151733e-06,4.8548316526e-06
491,0.0208773231192915,0.2763913502360725,0.1858088945056925,0.4776802110641908,0.02934131257241,0.0002464973259198,0.0001677863857509,0.0016887680061849,0.0027591897833216,0.0047698714700037,0.0002605195364594,8.275994702e-06
