original_index,H2O,CO2,O2,N2,CH4,N2O,CO,O3,SO2,NH3,C2H6,NO2
45,0.0148950226192486,0.3723429953158713,0.3167527866960665,0.2646278351884168,0.017483544261935,0.0077047180830434,0.0011882059716112,0.0015461236651547,0.0006883415680624,0.0027346653026259,3.06088525187e-05,5.1524754451e-06
54,0.0364338709759301,0.3166617633682896,0.3410778605665746,0.2742238875781456,0.007772045271778,0.0054177240789381,0.0055365239130749,0.0018986983916402,0.0076453451739612,0.0033161572575245,1.52468441487e-05,8.765799938855988e-07
91,0.0202380499514745,0.4339076501859256,0.2698533579269991,0.2659032995013618,0.0011190082132652,0.003938418208981,6.34182057565e-05,0.002037195714319,0.0001808309581692,0.0027532429498008,5.061093415256575e-07,5.0220746054e-06
93,0.0042185081628253,0.3935013736712712,0.2707318817839315,0.2998519941676414,0.0186207298836877,0.0073138889033302,0.0002733311910562,0.0014297013113645,0.0023737777722843,0.0016502292890398,2.74249248745e-05,7.1589386929e-06
151,0.0132742292503923,0.2720357013279694,0.3560150209415724,0.3230354309619604,0.0133583282937045,0.0071950044140926,0.0040490822951378,0.001929782961582,0.005826885141338,0.0032276070524574,5.26478925321e-05,2.794672605477537e-07
198,0.0075294219516131,0.2312894070695176,0.3726177550539963,0.3676471364001512,0.0042498676729652,0.0029326953679919,0.0060583816742212,0.0008768188180648,0.0051675893799543,0.0016022648487421,2.81768173004e-05,4.849454813871958e-07
214,0.01834082652542,0.3527223606953796,0.3139463043479424,0.2909291760171524,0.0074603680888292,0.0086847367966056,0.0014506812695437,0.0019018372717517,0.0025417931290988,0.0020168537496616,5.0390190864e-06,2.308952816955437e-08
219,0.0178105450977823,0.1818843237824622,0.3851463944928841,0.3885271989908347,0.0117935341749987,0.0001494115432341,0.0039899240937564,0.000440871991305,0.0074716195844005,0.0027840074047822,3.771023681699207e-07,1.7917411909e-06
220,0.033694761878127,0.1350249240409654,0.4309248069088671,0.3587868599956322,0.0202627732593486,0.0021456782462823,0.0040112777839339,0.000838040792233,0.009590551530056,0.0047077193173398,9.5858471112e-06,3.0204001032e-06
227,0.0177030440882829,0.2170653695477248,0.371683818479916,0.3741141754592087,0.0013671293314866,0.0039659919550387,0.0041384904697895,0.0025963806832137,0.0039735363317367,0.0033871858618557,3.9526163816e-06,9.25175364533056e-07
465,0.0149543603750146,0.2370908616264353,0.3723168132324793,0.3494140885362413,0.0014225080720264,0.0064134079980876,0.0067629869287942,0.0014328599606294,0.0066719590954841,0.0035159617688158,3.3764517656e-06,8.159542259113664e-07
