PlanetIndex,star_class,star_temperature_in_Kelvin,star_radius_in_Solar_radii,distance_from_Earth_to_the_system_in_parsecs,semimajor_axis_of_the_planet_in_AU,planet_radius_in_km,planet_density,planet_surface_pressure_bars,kappa,gamma1,gamma2,alpha,beta,planet_surface_temperature_Kelvin,H2O,CO2,O2,N2,CH4,N2O,CO,O3,SO2,NH3,C2H6,NO2,planet_atmospheres_avg_mol_wgt,planets_mean_surface_albedo
0000500,3,6585.434257904564,1.6849890177776097,1.4440185259015172,2.965402522717085,7412.321832774676,6.046008317615268,1.4972581664461369,-2.8469178013327237,-0.43857013693406355,-0.0584591656183604,0.8145916121832054,0.9727021739507181,237.52424802035097,0.029926152483381464,0.2909333601339526,0.4519022707635693,0.16844691950124077,0.03433904200158135,0.009673994107654951,0.007061766610082515,0.0015924103743217455,0.005694042544247488,0.00010038400194862916,0.0003192526130752927,0.000010404864943912343,34.149172792773044,0.6773112443745372
0000501,4,5453.943553491455,1.0296839390560455,11.079245650825712,1.1091765585726048,5045.42586832689,5.243282329704647,3.7514393992524138,-3.084315315395212,-0.5007969882729514,-0.7901113208766414,0.7999526525370507,0.9828913182460017,306.08359089119773,0.004595332052087382,0.07433491305243889,0.47415144306640034,0.4090425564073043,0.015626557934832575,0.005997134525947585,0.004755682129955269,0.0022942746761493993,0.005471780639502037,0.003705126591975777,0.00001854608118849696,0.000006652842217882708,31.15762791922893,0.6738842817717445
0000510,4,5605.898316284599,1.1014918389846489,12.210075860545924,1.6310370242417542,9103.297618138806,7.054101151710082,0.5909588524602538,-2.412515962759021,-0.00779071430590883,-0.2946551728713467,0.15677153993556614,0.8663378868360136,192.11083530524658,0.06504532916538744,0.1397183358912586,0.6569891469973391,0.08321242049477123,0.01990807114850794,0.003010694987773487,0.012790947813221707,0.00196492119482806,0.010559824034761928,0.006664669209794564,0.00012400891043021543,0.000011630151925666167,32.37345086050869,0.6259153376733995
0000600,4,5797.2594457042,1.2894314844924772,10.78233331552505,1.8519797634693846,3533.16171864758,4.607393359194808,3.1674098703718157,-2.396274925415014,-0.7728993951531522,-0.14894615386488264,0.4762074620469149,0.8575455837523518,248.52902131338453,0.032390398473142575,0.44401510005132155,0.12745478403990496,0.3395397270982785,0.0421910913231151,0.0004596601002392497,0.001134390425572831,0.00010332380690628375,0.009578671594054141,0.0027333009558847417,0.00039908744066356365,4.646909163201353e-7,35.12002557839172,0.28272279429255
0000601,4,5553.909761433302,1.2553531148382893,8.623148778977626,2.046334649635897,7867.132728278174,6.309777360303928,2.6468849669311796,-2.613525962954629,0.910718756103702,-0.5229360952990436,0.628940456172516,0.9407514286595028,215.18532191561113,0.016723966470716084,0.4923207912198666,0.2969095467568963,0.14756586529628196,0.0221135861285461,0.006533879482601947,0.009799582869936825,0.002113626202904487,0.0055800390603645165,0.00028477421717190845,0.000045589631997977836,0.000008752662715401104,36.98525017841422,0.18294899748097757
0000602,5,4663.725552340194,0.8385223475021784,14.12445609282304,0.9081903781863804,9554.713622571184,7.212654572363287,1.3317771391729174,-3.4125907505621518,-0.6347069891931654,-1.0073935634054212,0.5052162288632148,0.8937711273028455,180.34985323861594,0.03016806267746112,0.23721715169414537,0.2667035796521854,0.41160498692108394,0.031762066471635236,0.007101470903872402,0.0018223892621944129,0.00254028360977749,0.006904953345336803,0.003935397178421623,0.0002317272778513028,0.000007931006034918107,32.55947292163951,0.20357644271458314
0000603,3,7170.151896441798,1.7434490024256668,14.539972607290354,3.1791054496749425,5842.3649364588055,5.327885916630814,3.9381830841926497,-3.050795913259286,0.37329452245879224,-1.0278165481938748,0.9405412117972597,0.9827496161052472,319.8688007880928,0.005868292493936705,0.24470220809562873,0.28309233934540917,0.43277449867298956,0.013680020702491264,0.005032351208732309,0.004332925026460596,0.0023852353902833667,0.006639579339024871,0.0014516590020240859,0.00003309160283186849,0.000007799120187458289,33.18533034601577,0.19522490405010262
0000604,4,5742.056950670987,1.1349580253392701,14.40432209426249,1.0032171939398091,6131.295828942132,5.401902414963612,2.66977966673383,-3.2613678321577972,1.0373661447949702,-0.7799525690919732,0.3327131668799267,0.7694013610916097,218.16931396995727,0.005365544388616502,0.1072790712853717,0.375198701698543,0.44217694859934825,0.04062799932119599,0.007589043355267788,0.006569697373589481,0.00291006360791706,0.008283205056711793,0.0036615302274698096,0.0003373399144251482,8.551715431305154e-7,31.12278265704471,0.4563993278607541
0000605,5,4954.97684789805,0.6236638039095381,2.9725236180242294,0.8442636815834788,8747.70573057009,6.625633072986685,3.155375777554091,-2.112134387445155,0.17983248785594097,-0.6180406337509076,0.20005387625412985,1.0187478974613304,217.8125093025293,0.005127996151500683,0.2119072574518381,0.37842046477826746,0.3797766427098008,0.005749204021353433,0.004210187215272556,0.007010443636143873,0.00022027992505092367,0.007530345155391645,0.00003812127353452772,0.00000850650550344059,5.511763425541569e-7,33.13406734424653,0.7559064698877396
0000606,4,5711.712906506713,0.9340829875366301,11.488960960882693,1.2861135497143337,7740.482520852684,6.20186147601377,1.9143047361137944,-3.2984559083054767,-0.414277505403297,-0.49170887299200894,0.03346903928405931,1.038184532287918,244.89194387573906,0.04019243559057791,0.38541055487308035,0.3006850674008117,0.2097205262627713,0.0407858580168034,0.006981674769856835,0.0031718053292273812,0.00234792218468143,0.006819373765094755,0.003548650641802004,0.00033513773021060823,9.934350823878616e-7,34.85257894849323,0.6992873283010443
0000607,5,4940.387755282016,0.7200943732036663,12.558497851695552,0.862791152288382,5539.323058602436,5.304544578634704,1.1218078642714429,-2.6709420099705845,-1.490478644518365,-1.4735111684224274,0.8279540414696758,0.9439340085851274,258.5676460341783,0.04844175862027627,0.13737010854681128,0.4700228571466639,0.29015939281736836,0.02213419888092128,0.008502635216499565,0.007680633730179817,0.002762268528013184,0.00991989265575056,0.0028480265439953523,0.00014884100195508627,0.00000938631156526293,31.852697083519075,0.7438120127830105
